wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q30259971,,,1988,
Q7163256,,,1934,
Q61931456,,,1972,https://ead.faesa.br
Q7432544,,,1971,
Q50357843,,,1964,
Q5070184,,,1964,
Q4707807,,,1948,
Q30290178,,,,
Q719925,,,1964,https://www.ub.edu.bi/
Q1130730,,,1949,
Q4504755,21500,,1993,
Q109913127,,,1948,https://www.sttintimlib.ac.id
Q61931453,,,2001,
Q7496605,,,1949,
Q7057927,6657,,2007,
Q4220217,3500,,1992,https://kmu.edu.ua/
Q26111328,,,1879,
Q29021307,,,1983,
Q30296189,,,1979,https://www.gspcc.org.cn/index.php/pages_41/
Q7766655,,,1922,
Q138860481,,,2026,https://www.lmu.de/crossculturalphilology/
Q12708604,,,,
Q21006288,,,1924,
Q5060345,4076,,1961,
Q1391272,807,,1975,
Q391150,,,1912,
Q810771,1821,,1855,
Q5403540,,,1995,
Q649882,19872,,1922,
Q6860089,,,1968,
Q6381586,5729,,1841,
Q4703811,,,1990,
Q6246901,299,,1933,
Q1150437,,,1897,https://www.victoria.ac.nz/
Q141195676,,,2009,https://kkrembau.mypolycc.edu.my
Q17512879,,,1978,https://tucsin.org
Q43895359,,,1945,
Q3246712,2118,,1860,
Q4735235,,,1948,
Q10279261,,,,
Q1523183,,,1882,
Q141194428,,,2012,https://www.doma.edu.my
Q6743005,,,1986,
Q1305521,9459,,1862,https://www.usd.edu/
Q8060963,,,1945,
Q30263534,,,1993,
Q190336,15800,,1951,https://www.muc.edu.cn/
Q18355228,,,,
Q137795892,,,2004,https://abu.ac.ir/en
Q1429906,5110,,1962,
Q10829181,,,,
Q762266,275000,,1961,https://cuny.edu
Q30295480,,,1982,https://www.asdoe.net/tafuna-high-school
Q7232186,,,,
Q61931927,,,1950,https://www.usefpakistan.org/
Q7447018,,,1951,
Q7522163,,,1885,
Q24862197,,,1996,
Q2096138,23200,,1977,
Q14932567,,,1949,
Q129344062,,,2023,
Q7895659,,,1972,
Q21244915,,,1998,
Q11419770,,,,https://www3.jeed.go.jp/kagawa/college/
Q7492948,,,2005,https://alsalam.edu.iq
Q7565803,,,,https://www.sats.edu.za/
Q511291,,,2016,
Q4816126,,,1882,https://www.atlantapublicschools.us
Q487177,,,1946,
Q22088945,,,2003,
Q118902477,,,,
Q3655709,,,1988,https://w3.braude.ac.il/
Q6103200,,,2007,
Q7277005,,,2001,
Q52850511,,,1958,
Q61744471,,,2012,https://www.ahalia.ac.in
Q4567575,,,1955,
Q9380738,,,1997,
Q138859837,,,,https://mrclmb.ac.uk/research-leaders/molecular-immunity-unit/
Q1697376,,,1997,
Q12523334,,,1987,https://www.unida-aceh.ac.id
Q39047119,,,2019,https://www.hju.ac.in
Q4248856,,,1935,
Q141193945,,,2006,https://www.facebook.com/kolejpacific.edu.my
Q5639372,,,1993,https://www.muhn.edu.cn
Q2128658,,,,
Q94673966,,,2015,https://www.reading.edu.my/
Q12132951,,,1921,https://www.dpu.edu.ua
Q109912753,,,2020,
Q3578086,,,1963,
Q30265310,,,1958,
Q90276468,,,1937,
Q6979226,,,1962,
Q2424299,,,1978,
Q7692503,,,2007,
Q991872,8500,,1774,https://uni-eszterhazy.hu/
Q5585003,3495,,1852,
Q12677532,,,2000,https://www.viko.lt/
Q7569319,9328,,,
Q6388894,,,1934,
Q16047236,,,,https://mehralborz.ac.ir/
Q138460563,,,2024,https://research.digitalhealth.pe
Q20613237,,,2014,
Q7634547,22570,,1959,
Q909696,518,,1812,
Q125450750,,,2017,https://www.shu.edu.pk
Q24306461,,,1995,
Q8039083,,,1953,
Q11608747,,,1915,
